CustomerID,TransactionDate,TransactionAmount
CUST10771,7/31/23,2383.07
CUST10100,3/10/24,497.54
CUST10031,2/17/25,536.78
CUST10987,7/17/23,314.89
CUST10831,12/15/24,2543.19
CUST10404,2/28/25,432.22
CUST10488,6/7/25,2178.25
CUST10988,3/25/25,85.46
CUST10657,9/10/23,1800.32
CUST10007,12/15/23,305.9
CUST10897,7/16/23,726.91
CUST10300,5/9/23,385.41
CUST10710,4/4/25,305.66
CUST10480,2/4/25,1812.17
CUST10480,1/16/24,1560.58
CUST10377,10/24/23,465.32
CUST10184,2/19/25,672.1
CUST10214,6/17/25,1224.7
CUST10488,7/12/23,463.81
CUST10892,8/13/24,398.16
CUST10561,1/15/24,300.17
CUST10879,2/1/23,993.99
CUST10959,10/28/23,715.54
CUST10204,2/8/25,381.65
CUST10531,5/12/24,866.56
CUST10755,12/26/23,486.07
CUST10805,9/12/24,913.33
CUST10547,8/8/24,1298.6
CUST10657,3/19/25,1042.5
CUST10231,4/4/25,626.01
CUST10141,11/22/22,705.63
CUST10443,9/12/24,1272.25
CUST10715,5/21/25,1031.61
CUST10919,7/8/25,1545.22
CUST10765,6/2/22,1210.21
CUST10203,3/7/24,655.35
CUST10734,1/31/25,1798.01
CUST10373,2/1/22,2249.7
CUST10503,7/22/24,3189.99
CUST10233,9/16/24,217.87
CUST10049,12/3/24,940.96
CUST10251,7/13/23,1536.49
CUST10850,10/26/22,1054.13
CUST10117,11/10/23,90.94
CUST10991,6/28/25,990.86
CUST10371,5/19/25,1428.33
CUST10068,8/9/22,697.9
CUST10712,1/20/24,710.35
CUST10043,5/10/22,968
CUST10217,2/7/23,912.54
CUST10442,11/20/23,914.47
CUST10339,11/10/23,1795.7
CUST10754,8/2/23,613.8
CUST10416,12/25/24,485.29
CUST10460,5/22/25,630.5
CUST10452,4/20/22,861.79
CUST10837,7/14/22,576.75
CUST10471,4/29/25,1899.99
CUST10901,5/13/22,307.55
CUST10672,7/15/25,947.52
CUST10609,12/1/24,1408.59
CUST10763,11/16/23,356.87
CUST10631,7/18/25,224.09
CUST10669,4/12/22,1053.77
CUST10659,7/6/25,1080.71
CUST10459,7/7/25,240.86
CUST10380,8/13/24,808.6
CUST10040,6/25/22,164.97
CUST10208,11/26/24,817.54
CUST10932,8/1/24,426.43
CUST10697,10/18/23,117.36
CUST10265,4/18/25,1913.05
CUST10133,7/21/25,274.17
CUST10846,5/2/21,1524.08
CUST10953,10/23/23,264.81
CUST10530,1/24/23,1241.61
CUST10776,10/24/22,1456.99
CUST10757,5/5/24,492.17
CUST10110,2/21/24,1465.49
CUST10806,7/26/25,863.76
CUST10778,12/14/24,1529.43
CUST10904,4/15/22,1417.64
CUST10425,11/30/24,1223.95
CUST10858,3/30/24,925.42
CUST10204,3/9/23,992.6
CUST10335,2/17/22,1356.13
CUST10105,1/7/21,1699.83
